parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec,2.5%,25.0%,50.0%,75.0%,97.5%,distribution
w[33],0.1544341509601951,0.539556844983209,0.021287109224369587,634.7411954806828,1146.9323468595906,1.002540036562022,0.006058522574684965,-0.9311429754096693,-0.2183347263540517,0.15203697502244273,0.5500200496103677,1.1274286026390756,posterior
w[34],0.038689115018686535,0.5907034316489406,0.014501308172611546,1684.478984939634,1416.9442121309037,1.0017302543227022,0.016078133937896855,-1.1267233267382062,-0.3616392345412507,0.05088529587745218,0.441327138518423,1.1317210903293882,posterior
w[35],0.072306669909324,0.5604039867782395,0.016229285904611417,1188.1088264607558,1582.1330785953398,1.0005807818737733,0.011340345006036423,-1.0119990515642203,-0.30439153747600706,0.07046105360323235,0.4591160800738794,1.1817168183947537,posterior
w[36],-0.02696537376063413,0.5719954414336682,0.013376850579739998,1827.3896104624337,1401.0828000955587,1.0033872553165157,0.017442197365726757,-1.167910994634661,-0.41654550695983583,-0.0318714060952999,0.36290472700112303,1.1032163708655418,posterior
w[37],0.14619665581762997,0.6828869038522973,0.026254686325100685,683.1775320880381,1107.034755382846,1.00296969441293,0.006520841139889281,-1.1338300237814452,-0.3431886808545526,0.1325769668248825,0.6304289585873479,1.4441526040958577,posterior
w[38],0.18444810395757197,0.5482945877329172,0.021152530638945777,672.9253863217863,1220.193421523752,1.0000599494066196,0.00642298573518885,-0.8903949503128445,-0.1827771717282801,0.1878272837618998,0.5843173270308457,1.1911523716156456,posterior
w[39],0.08260465355877446,0.5859876936046375,0.0158244812242975,1367.8821770974723,1463.9587221158047,1.0005136958400211,0.01305625837500327,-1.0678780539509665,-0.3080109087954777,0.0909110239624472,0.47636947673931296,1.2176776996145269,posterior
w[40],0.07658476013888052,0.5819848612975412,0.017776680735137686,1064.0048701341318,1219.621163379881,1.003489987629335,0.010155788802081246,-1.0980819016351695,-0.32129876704260685,0.09741238270590154,0.4834976493255928,1.2218830510016154,posterior
w[41],-0.017290094033379548,0.5665805973740914,0.013890929265332735,1653.7408810410702,1608.8657603265274,1.0004256378700584,0.01578474271372803,-1.1495973554420702,-0.38347460805307326,-0.02963940587363733,0.3454875924157901,1.1198751855354532,posterior
w[42],0.21725846755224748,0.7075559552540239,0.033437892202496815,452.8658396880296,1158.992097133111,1.009930283173874,0.0043225458385063795,-1.0993938660260376,-0.307890345859807,0.21252761186304933,0.7370961755471606,1.5767030844784502,posterior
w[43],0.18791083858349594,0.5558179638196518,0.02382329511129174,548.6336511245762,1140.0922974808855,1.0064309705986558,0.005236637206212712,-0.9593599739297671,-0.17823526130958608,0.21314647066316186,0.5999541221875038,1.145654521680471,posterior
w[44],0.08853943474212028,0.5904632434327132,0.01832535296374282,1027.2669017428163,1580.7121117924992,1.0037466656522271,0.009805129647717882,-1.0038639478445888,-0.31723790142088454,0.0760698195628456,0.4870589977149753,1.2814322174096913,posterior
w[45],0.11351015797176481,0.5850660107284743,0.01955882697564217,889.716994003659,1559.3350365019826,1.006038291886904,0.008492233577450325,-1.0303797976250237,-0.2857217918294827,0.09306727007644672,0.5370576053350375,1.2108435293607047,posterior
w[46],-0.04851057396216303,0.5879047280712942,0.015694140032952202,1410.836846878652,1571.0819429962369,1.0012423012535683,0.013466255139685192,-1.2151245364230214,-0.43912939563394326,-0.07042792881816251,0.33890514942682737,1.1248211273141764,posterior
w[47],0.1452663429267767,0.6774037141980758,0.028558375567419646,560.2604390520439,1056.9882949893943,1.006785061796997,0.005347613392461808,-1.1793207557074965,-0.3135412318361185,0.15040375450157698,0.6127736187566368,1.4458563856571982,posterior
w[48],0.1655163262778531,0.539590338156729,0.02298011333058803,552.1521327393882,1155.778156081245,1.0070435725308937,0.005270220657930872,-0.918916131898745,-0.2092214773869019,0.18328596366465194,0.5538856248138357,1.1569515734432894,posterior
w[49],0.053322729067092775,0.5846974977938945,0.0160779096155286,1342.1429878984657,1418.826664229618,1.003366062616665,0.0128105811447769,-1.1126994959193306,-0.33932896289733494,0.05148048781279985,0.451429699444563,1.1848653140600163,posterior
w[50],0.058403485055505897,0.5731015897162397,0.01749390902164768,1075.343811031497,1355.4265938481044,1.0021638309491183,0.01026401752567572,-1.0790125173261933,-0.3359247775632746,0.058814639657139976,0.4365188961108999,1.2549119299773337,posterior
w[51],-0.04139093237464807,0.5706375014049679,0.014497462949129451,1557.5058839063104,1427.9282863470385,1.0023842396483615,0.014866192118986571,-1.138066985524098,-0.4283129118315715,-0.04297932312895908,0.34095483174949565,1.0769653140600648,posterior
w[52],0.14546998553118318,0.6787204935297471,0.027361199264519104,627.3397439654004,789.805955030981,1.0002215210868712,0.005987876677727203,-1.1268408315560299,-0.32740927084969385,0.14667582983401928,0.5999533620038796,1.5069992299119839,posterior
w[53],0.13341104514047455,0.5385551227342805,0.02242261243031455,582.3806527798167,1276.9483563718077,1.0032604643125795,0.005558747970114483,-0.9178743151116531,-0.23984760994462276,0.14162976176358766,0.4906599212339204,1.155447929649861,posterior
w[54],0.060408850627765485,0.5733322416467235,0.013758343320374629,1753.291227850262,1748.5235864932238,1.000149886595568,0.016734937892102206,-1.0616840517283934,-0.33457037465636225,0.05865933547988371,0.45901639241734493,1.1495497240358716,posterior
w[55],0.03804675702255761,0.5565022783353496,0.01675349272838667,1097.2675641155474,1507.4897725011058,1.0010374858149473,0.01047327691190628,-1.0848338748349562,-0.33375946974241755,0.034513674014010565,0.4090403806086097,1.134407045717617,posterior
w[56],-0.039146095496876344,0.5703750852498884,0.013778420731668916,1730.111388503246,1545.4034337898595,1.001642863708429,0.016513689325030525,-1.1285453521928417,-0.4124041157464856,-0.059959446795177423,0.33135395423841213,1.083340957716166,posterior
w[57],0.1397664553458886,0.681860935219256,0.024427856811654276,789.5151846364791,1150.344914236391,1.004301875339423,0.007535820273260092,-1.1903156976528075,-0.3269557220617003,0.1084272030154941,0.6145125296208487,1.4738432347333528,posterior
w[58],0.14441693577576642,0.5218402832918997,0.019629542591340803,709.2054603174465,1135.7699996765225,1.0010146133956772,0.006769274346797702,-0.8746188424764437,-0.22865037620495893,0.16009480343148746,0.5136888293645939,1.1330710476480395,posterior
w[59],0.05652657095102125,0.5917580606398511,0.015336564137540774,1524.1322526244035,1485.221676953808,1.0001785045166722,0.014547645126983751,-1.0691547364579206,-0.3648539371994721,0.07989030658879037,0.4341572120306727,1.2008564622197204,posterior
w[60],0.07737585114554525,0.5825249913075394,0.01635301277522924,1282.266401235705,1096.9855742883194,1.0014344430508149,0.012239066873174125,-1.1462079720655836,-0.29442073191758,0.07034735279232367,0.4687980418238066,1.2062727870541161,posterior
w[61],0.22946044648394628,0.36572797121445144,0.009501793695227377,1492.3562555786054,1469.9993313801915,1.0015491070779536,0.01424434734702904,-0.48426030893972505,-0.00581580065887095,0.22887247560272916,0.46521599204098396,0.9533636096446623,posterior
w[62],-0.35116504354665745,0.4572284690542712,0.012956912046885684,1244.8532241173104,1387.1821026803952,1.0019557283403155,0.01188196293888351,-1.270181294340799,-0.6588675730447733,-0.3412991126649769,-0.03450248801586288,0.49399021326231785,posterior
w[63],-0.15999337692368062,0.272451634900669,0.009544266274326016,815.332387777326,1173.0481248738786,1.000114100253035,0.007782242136466241,-0.6912563541668163,-0.33678346044358465,-0.16772056257309373,0.008904348938825038,0.3819087262314824,posterior
w[64],0.013954712144729719,0.39627574537386034,0.012444499042129197,1021.8219382304918,1276.9590557778633,1.0017669519624202,0.009753158175576747,-0.8131893234986823,-0.233037255523235,0.021027740983018725,0.272817862952061,0.7635055040004931,posterior
w[65],0.10064665856302316,0.3765067830737524,0.010861127259482718,1195.4251466833448,1279.5866698382627,1.0000805255465337,0.011410178335821504,-0.6606804612249552,-0.14612818281005643,0.11053650844438394,0.3541145657697788,0.814491544430915,posterior
ω_CL,0.17075827437016083,0.1439538607447854,0.005754658723697771,581.1741203422503,825.8133028674032,1.0038721972420348,0.005547231774124477,0.007663325144174588,0.06948214171490258,0.13395540043534332,0.2287876975335074,0.5829239192760033,posterior
η_CL[1],0.37445362743509986,0.8792725488254424,0.018966353510531126,2159.6258472049713,1442.4089802087963,1.0014253701654192,0.02061334925371588,-1.340398254554356,-0.19831185641076987,0.3702422291572073,0.928675837162048,2.1783335151410927,posterior
η_CL[2],-0.7217207506173793,0.9494716087337625,0.02180112998020241,1904.6887837715633,1370.6088124167247,1.001846722403148,0.01818000797236809,-2.5475347484146327,-1.377592085321504,-0.7501057353951208,-0.0966807804311812,1.1939422266953663,posterior
η_CL[3],0.6600754772370228,0.821335152034224,0.020424385429310857,1644.3263684374592,1380.536656537615,0.9993686798358344,0.015694882409174393,-1.097591767474043,0.1442689165859853,0.7005770715080809,1.188636979596033,2.1734606345837806,posterior
η_CL[4],-0.0829746077051887,0.9039320178204859,0.021720530688213557,1713.4886041941434,1260.0140238996928,1.0102956883104497,0.01635502699980591,-1.8859480751432478,-0.688916200261176,-0.04457051657142886,0.5095230554866043,1.6607167779023215,posterior
η_CL[5],-0.05960553511579548,0.9246955620986022,0.021955337943382388,1776.950045424628,1528.306657343987,1.003230619478296,0.016960758244373656,-1.8263061793513473,-0.6930361123620258,-0.06775983958447038,0.5342183030307472,1.811886600084571,posterior
η_CL[6],0.00018385051058836764,0.9426893039347568,0.019269689894982796,2417.451874222606,1542.3800147440277,1.0023111109564034,0.023074265318640194,-1.7318765547438852,-0.637573717638557,-0.008165259883403383,0.638752883394011,1.8956687781056774,posterior
η_CL[7],0.4973682498426239,0.8178412038915049,0.01995980036035437,1701.244356157909,1465.1300738722966,1.0022192438817012,0.016238157236718623,-1.2124235076866212,-0.020501813721806275,0.5525463980498907,1.050246378340686,1.9857847550290444,posterior
η_CL[8],-0.5328538873906571,0.8910667284432016,0.021561647666309913,1719.3363804878693,1320.0453913295428,1.0004445781325941,0.01641084326782112,-2.289127934667366,-1.1186346111739343,-0.5368154040277597,0.025435527959634864,1.3010242719864717,posterior
η_CL[9],-0.10019545759906615,0.7921795834705042,0.021075987721193387,1408.0824217370296,1384.3793979937243,1.0021531668379307,0.013439964508133916,-1.6349567335250148,-0.617681611114106,-0.0982469236729624,0.40245468478545393,1.5475579071166532,posterior
η_CL[10],-0.09190735929527566,0.8124189220467949,0.017873307335795896,2063.3228877297583,1469.3469776330521,1.0011004587474357,0.019694149967229197,-1.7176809490814726,-0.6005155361766134,-0.08756003142052492,0.4200740103081734,1.5122534519765103,posterior
ω_V2,0.10104358833477005,0.06134571157414198,0.0021305075092330032,744.1324522360381,502.80115529943146,1.0098404343852587,0.007102647965071178,0.009549958728391587,0.05881704839880278,0.09286016591860077,0.13198570591800368,0.24758804324690262,posterior
η_V2[1],-0.24924019100775818,0.8617257320243915,0.019231324684759684,2021.8315084179346,1322.8396022134718,1.000727235903371,0.019298120120725955,-1.9700320513302652,-0.8224371454642536,-0.23297869868652343,0.3030430335551995,1.4379401947630897,posterior
η_V2[2],0.18967001571259232,0.8870292628611857,0.020835154375061473,1811.314883738512,1516.104334364847,1.0007976536198966,0.017288766179233465,-1.5801639562403171,-0.40813982895740336,0.19864165410180556,0.808268704177813,1.8827119914476982,posterior
η_V2[3],0.01894544963618533,0.8001527604548608,0.019041070893466072,1776.6440660432154,1496.1051327998307,1.0008252450475847,0.01695783771077213,-1.5232757143364348,-0.5361531767082559,-0.006653463723562292,0.5741941324640024,1.5499978908072722,posterior
η_V2[4],0.9856179756276695,0.8628154434218614,0.021345160190223447,1642.856826894218,1267.6527360504476,1.0021418943263725,0.015680855825304377,-0.825641781063088,0.439675791989108,0.9859669330967655,1.5788829142999727,2.6062576737706946,posterior
η_V2[5],0.2847748293396457,0.828761356921871,0.018989258685295354,1890.0548456583108,1566.0860209521204,1.0047657530673533,0.018040328926724074,-1.2866326262794714,-0.28605167583926117,0.2687591960847284,0.8282357926777059,2.0191905276034934,posterior
η_V2[6],0.18863260691211878,0.8774719020575499,0.020596548968988354,1829.9715568659528,1333.0049571413583,0.9999470793082814,0.01746684171004177,-1.5488736138858445,-0.3867254704269196,0.20733007175891624,0.7855106708958732,1.9362919595900816,posterior
η_V2[7],-0.590637371483055,0.7934552641198604,0.019962735276776247,1630.4053097011092,1486.3437570107233,1.0033564280730527,0.015562007704935571,-2.131380896054995,-1.101732216689609,-0.6121018303893767,-0.06314944914947683,0.9823464676508321,posterior
η_V2[8],0.12865877558319372,0.8491559134168792,0.020356419660917193,1729.6105575581942,1588.4435865020794,0.9992220812263736,0.016508908958468054,-1.5765209267618188,-0.39454023222846435,0.1350226815641027,0.6559689990187334,1.8708001607529747,posterior
η_V2[9],-0.8009484767530548,0.7273096429392093,0.02035018040564152,1356.0899868069102,986.3972031032444,1.0065796989753677,0.01294370344460168,-2.2259743661235083,-1.2548555064746743,-0.7924145982647667,-0.355129383655976,0.6073147640914801,posterior
η_V2[10],-0.1430806922153601,0.7639120003832095,0.02000916145924855,1462.542374154201,1286.1582109000371,1.0006227714541749,0.013959777706780708,-1.5929190298154945,-0.6386141306047177,-0.16586376480921616,0.3432345203376108,1.3984036657086132,posterior
ω_ka,0.4040676394965734,0.2152623394301183,0.006310934829096104,1089.4266648023345,1124.809056290397,1.0024201311300682,0.010398436542582278,0.04240218804081109,0.2414446492160281,0.3929053905603709,0.5433848441781647,0.8572918058167125,posterior
η_ka[1],-0.7862754616415948,0.8556473318155683,0.01886417346983386,2143.4365096855827,1290.6800506100456,1.001533388921608,0.020458824122010617,-2.369635650153211,-1.3327263858352816,-0.8640570573553695,-0.23996621955509329,1.0570888505202678,posterior
η_ka[2],0.5982730623353075,0.8321792508135107,0.017490677834125088,2286.9015628038096,1549.121579527763,1.000967441951979,0.02182817948949536,-1.1055105471074238,0.06457791479333129,0.6135277807762392,1.1436560427240514,2.2464132385637647,posterior
η_ka[3],0.37839130109598473,0.8289458153009281,0.01979643925030164,1782.0355845103095,1475.3474073797997,1.0022794979283294,0.01700929905687238,-1.1417973128283492,-0.18073800881069252,0.3417930511136752,0.9268314322155696,2.012106421561268,posterior
η_ka[4],-0.5871500315852968,0.8413996556624062,0.020426692009604765,1745.3136173143193,1423.4879076799791,1.0028747438629364,0.016658792631847826,-2.163324236014977,-1.1432890423630768,-0.6238487363071834,-0.07827366856047216,1.1707866670531004,posterior
η_ka[5],0.27966058473736494,0.8543725739136827,0.019176259404702304,1984.116975491064,1527.3217273530836,0.999227452317097,0.018938139784239194,-1.3698316578593754,-0.27731779034441345,0.24605798446710495,0.8291216777291143,2.0072209195252233,posterior
η_ka[6],-0.09074820753119196,0.8373044951222302,0.018043429057026633,2208.378897578124,1330.876454041521,1.0065911350536778,0.021078690810831642,-1.6670509513933922,-0.6681692832189473,-0.13407734127006402,0.4386402867744751,1.6791650107943288,posterior
η_ka[7],0.11106897725845914,0.7997457373520239,0.01832718755554475,1978.0976453066153,1603.5469255740184,1.0043825930319226,0.018880686056536287,-1.4154229951352957,-0.40419644528988463,0.08062155301522032,0.6033239832643975,1.8421648741813088,posterior
